execution time
0.044
0.047
0.046
0.046
0.046
0.046
0.047
0.046
0.045
0.047
0.046
0.045
0.047
0.046
0.045
0.046
0.052
0.050
0.050
0.049
0.049
0.046
0.046
0.047
0.047
0.047
0.047
0.049
0.049
0.048
